Date,ШЋЧђЖўбѕЛЏЬМХХЗХзмСП,Generation (billion kWh),Nuclear (billion kWh),Fossil fuels (billion kWh),Renewables (billion kWh),Hydroelectricity (billion kWh),Non-hydroelectric renewables (billion kWh),Geothermal (billion kWh),"Solar, tide, wave, fuel cell (billion kWh)",Tide and wave (billion kWh),Solar (billion kWh),Wind (billion kWh),Biomass and waste (billion kWh),Hydroelectric pumped storage (billion kWh),ШЋЧђ:ЕчСІзАЛњШнСП:ПЩдйЩњФмдДЃЈМЊЭпЃЉ,ШЋЧђ:ЕчСІзАЛњШнСП:КЫФмЃЈМЊЭпЃЉ
1980,19782.50371,8017.590350709011,684.380218970399,5588.874065,1754.115066491612,1722.56809,31.54697670361204,13.34007942,0.47,0.47,NA,0.011,17.72589728761204,-9.779,461.90 ,134.95 
1981,19411.71942,8073.384882909436,778.641894829824,5525.695248,1779.940740472612,1746.762664,33.17807635261204,14.74816269,0.53,0.53,NA,0.011,17.88891366461204,-10.893,476.99 ,156.32 
1982,19164.98539,8255.4883439262,866.986699756588,5563.292389,1833.719255232612,1790.224237,43.49501809661204,15.7138649,0.57,0.57,NA,0.019,27.19215320061204,-8.51,493.40 ,170.22 
1983,19310.26306,8594.771855056671,982.49256103806,5703.434012,1918.5782816696121,1871.988606,46.58967613261204,17.80610121,0.57005,0.57,0.00005,0.032667962,28.18085695861204,-9.733,505.88 ,189.81 
1984,19942.49163,9085.148539370703,1197.84611612309,5912.569199,1985.996760759612,1933.867667,52.12909399261204,20.33450396,0.584297924,0.578,0.006297924,0.044490252,31.16580185661204,-11.263537,521.60 ,221.19 
1985,20206.55273,9463.924684108728,1426.47518046108,6043.397152885094,2006.733248762554,1952.058454059493,54.67479470306094,22.3538424024489,0.604680157,0.593,0.011680157,0.063761883,31.65251026061204,-12.680898,538.25 ,252.99 
1986,20565.53072,9660.179602121925,1518.76965876341,6103.5351320080445,2051.78315335047,1991.789856238307,59.99329711216314,24.9847521535511,0.609131952,0.593,0.016131952,0.14018872,34.25922428661204,-13.908342,552.28 ,277.88 
1987,21224.63476,10100.19388960805,1655.30614077561,6398.839903837161,2061.6553609952803,1995.836318310668,65.81904268461204,26.88389111,0.58559706,0.574,0.01159706,0.198541414,38.15101309961204,-15.607516,569.00 ,299.34 
1988,21984.32458,10534.432375760682,1796.1016542685,6613.935287410931,2140.669955081251,2072.167699621639,68.50225545961204,27.21225887,0.57319415,0.562,0.01119415,0.338871014,40.37793142461204,-16.274521,582.93 ,311.62 
1989,22370.54146,11062.105676174826,1844.5626434595,7053.6721755778135,2178.2941451375127,2060.351660025754,117.94248511175888,32.772943,0.852282923,0.556,0.296282923,2.633943,81.6833161887589,-14.423288,573.16 ,320.15 
1990,22680.40027,11310.03101608998,1910.12004100967,7141.243425381255,2278.6071216990545,2144.407810315621,134.19931138343358,35.700171,1.032697125,0.596,0.436697125,3.6036,93.86284325843359,-19.939572,565.99 ,325.06 
1991,22809.52321,11550.530881686616,1997.904169,7243.845302204044,2327.848432482573,2182.938412571389,144.91001991118398,36.932444,1.146046379,0.616,0.530046379,4.096951,102.73457853218397,-19.067022,569.54 ,324.69 
1992,22709.73063,11633.218053363711,2016.976568,7288.090937922068,2346.0821654416422,2188.693854335699,157.38831110594322,38.068962,1.443925343,0.929,0.514925343,4.612057,113.26336676294322,-17.931618,578.09 ,329.30 
1993,22802.87666,11906.418653102557,2082.995441,7366.8195401665525,2476.5510439360037,2313.692202036941,162.85884189906253,39.038565,1.544920646,0.947,0.597920646,5.557926,116.71743025306253,-19.947372,590.54 ,336.29 
1994,23033.27515,12182.899262385767,2126.550589,7568.480426759054,2507.3289826267123,2336.55695062464,170.77203200207222,38.900453,1.550178085,0.905,0.645178085,7.284414,123.03698691707223,-19.460736,604.30 ,339.39 
1995,23679.3372,12627.078154244235,2211.430158,7804.469091668113,2632.7493815761227,2453.528955696972,179.22042587915047,38.1301503889533,1.667283049,0.976,0.691283049,7.935523,131.4874694411972,-21.570477,615.88 ,342.49 
1996,24145.44325,13010.981150458794,2292.986987,8065.9804838657765,2675.235137633017,2489.918966132877,185.31617150014003,40.5671116110467,1.691905527,0.935,0.756905527,9.288892,133.7682623620933,-23.221458,625.63 ,349.23 
1997,24598.14668,13339.715074923515,2272.730674,8347.457581018076,2745.4401433054395,2545.305736,200.13440696843944,42.000458,2.10347923,1.296,0.80747923,12.13404262,143.89642711843942,-25.913323,640.07 ,349.32 
1998,24756.30126,13677.55870094277,2317.467048,8620.999657470393,2764.063691272378,2552.109439,211.9542517813782,44.562419,2.235261111,1.348,0.887261111,16.107491,149.04908067037817,-24.971696,649.76 ,346.22 
1999,24939.59719,14016.484180166432,2394.232147,8831.420799904534,2817.1224644618987,2589.493159,227.6293057468987,47.725775,2.257931853,1.271,0.986931853,21.276463,156.3691358938987,-26.291231,666.28 ,348.95 
2000,25725.4404,15113.633546436,2451.39634,9820.948378,2868.799088,2625.183097,243.6159914,51.396758,1.737378436,0.539,1.198378436,31.309661,159.172194,-27.51026,726.02 ,351.66 
2001,26031.16667,15344.76346,2518.278708,10026.27936,2829.631238,2570.845645,258.7855928,51.002901,2.01236181,0.517,1.49536181,38.406131,167.364199,-29.425845,746.49 ,354.86 
2002,26433.2898,15906.176222363,2547.166987,10484.72158,2906.388886,2616.400031,289.9888554,51.79441,2.398007303,0.526,1.872007303,52.77418,183.0222581,-32.101228,765.96 ,360.09 
2003,27656.82062,16492.908241489,2519.268295,11069.92496,2933.543855,2622.358723,311.1851325,53.509431,2.858538479,0.523,2.335538479,64.543966,190.273197,-29.828865,797.04 ,362.09 
2004,28948.74646,17265.764683843,2620.440587,11534.87575,3139.425254,2790.141508,349.2837452,55.69057455,3.482875343,0.501,2.981875343,84.67244072,205.4378546,-28.97691,830.58 ,367.93 
2005,30044.54322,17964.68017,2626.545065,12065.27366,3302.141328,2909.617255,392.5240728,56.41214521,4.65560988,0.509,4.14660988,104.2828491,227.1734686,-29.27988798,869.73 ,370.22 
2006,31065.09488,18700.66366,2661.312736,12613.01713,3454.436841,3014.264316,440.1725256,57.807429,6.15153977,0.49,5.66153977,133.460837,242.7527198,-28.103042,911.62 ,371.68 
2007,32232.51473,19553.852326944,2609.624353,13427.15581,3545.600919,3044.010174,501.5907449,60.43311302,8.122295454,0.496,7.626295454,171.3435274,261.691809,-28.528752,962.54 ,371.96 
2008,32431.24935,19879.077955289,2600.619535,13545.53473,3758.568549,3179.251985,579.3165633,63.11837656,13.01291011,0.492,12.52091011,221.3941001,281.7911766,-25.644862,"1,026.14 ",372.16 
2009,32020.67789,19769.830120748,2565.593485,13319.01135,3908.434626,3237.520094,670.9145316,65.11235802,21.41177304,0.568,20.84377304,277.7733317,306.6170688,-23.209345,"1,105.26 ",372.42 
2010,34003.64205,21109.96977,2634.886801,14293.34251,4209.892191,3413.299109,796.5930811,64.68961314,34.0285138,0.709,33.3195138,339.4044461,358.4705081,-28.151732,"1,187.89 ",375.75 
2011,35059.57418,21835.767511508,2521.436367,14920.54978,4422.24308,3473.263395,948.9796856,65.473668,66.96288939,0.806,66.15688939,435.0488987,381.4942296,-28.46171601,"1,292.66 ",369.23 
2012,35521.71368,22301.85394,2350.295649,15237.75175,4741.353241,3636.845869,1104.507372,66.59632562,104.7948989,0.962,103.8328989,521.5029148,411.6132326,-27.546696,"1,404.32 ",373.12 
2013,36221.13828,23077.50863,2368.231373,15661.26988,5075.898409,3766.38207,1309.516339,67.84817411,146.2048711,0.926,145.2788711,645.0783455,450.3849485,-27.891033,"1,526.91 ",371.54 
2014,36427.76971,23685.59403,2422.466782,15981.27814,5312.25925,3837.044619,1475.214631,72.50584102,199.9117899,0.999,198.9127899,717.2502819,485.5467187,-30.410148,"1,665.14 ",333.34 
2015,36300.46645,23966.22115,2450.937477,16024.10752,5520.794142,3852.082222,1668.71192,76.21777501,252.7138709,1.0059,251.7079709,828.7024478,511.0778259,-29.617988,"1,816.83 ",343.78 
2016,36423.6607,24560.56781,2491.142248,16193.88652,5912.61767,3989.007287,1923.610383,78.16920702,329.3540918,1.0269,328.3271918,957.5624622,558.5246223,-37.078627,"1,977.11 ",352.46 
2017,37047.47203,25289.91394,2517.522535,16540.7586,6271.139858,4032.562313,2238.577545,80.55417424,440.2204476,1.0318,439.1886476,1127.731595,590.0713278,-39.507048,"2,147.99 ",358.03 
2018,37974.55389,26110.19912,2569.551877,16878.28436,6699.852225,4157.410291,2542.441934,83.88876402,567.1941891,1.0013,566.1928891,1266.940354,624.4186274,-37.489339,"2,320.61 ",369.71 
2019,38066.43415,26489.26421,2677.423462,16782.33767,7066.465615,4205.534495,2860.93112,85.57574701,701.0661695,0.994,700.0721695,1420.220484,654.0687204,-36.962544,"2,504.25 ",369.57 
2020,36154.30804,26476.93157,2592.550863,16366.14961,7557.035126,4332.057316,3224.977809,89.142179,857.4549437,0.9833,856.4716437,1593.939496,684.4411907,-38.804037,"2,782.54 ",371.66 
2021,38121.01498,27838.036376601,2697.028695,17201.156556075,7981.53157,4270.807544,3710.724026,88.92673701,1041.968024,0.9695,1040.998524,1849.3604,730.4688648,-41.6804449,"3,039.76 ",372.34 
2022,38246.62406,28460.901070686,2589.627843,17325.09966,8590.478511,4326.003638,4264.474873,90.28821921,1311.965297,0.953,1311.012297,2111.388015,750.8333426,-44.30494609,"3,348.36 ",371.52 
2023,39023.93704,29024.188793819,2649.483224,17404.445743022,9014.566616,4235.560051,4779.006565,90.65240787,1624.901419,0.9174708,1623.983948,2319.110816,744.3419233,-44.30678934,"3,834.14 ",382.36 
2024,NA,"29,600","2,660","17,760","9,472","4,237","5,235",200,NA,NA,"2,040","2,400",260,NA,NA,NA
